algorithm,distribution,score,time_seconds,seed
CPFA,Random,199.000000, 720.000000, 1
CPFA,Random,197.000000, 720.000000, 2
CPFA,Random,184.000000, 720.000000, 3
CPFA,Random,198.000000, 720.000000, 4
CPFA,Random,199.000000, 720.000000, 5
CPFA,Random,187.000000, 720.000000, 6
CPFA,Random,194.000000, 720.000000, 7
CPFA,Random,198.000000, 720.000000, 8
CPFA,Random,188.000000, 720.000000, 9
CPFA,Random,198.000000, 720.000000, 10
CPFA,Random,199.000000, 720.000000, 11
CPFA,Random,192.000000, 720.000000, 12
CPFA,Random,202.000000, 720.000000, 13
CPFA,Random,192.000000, 720.000000, 14
CPFA,Random,189.000000, 720.000000, 15
CPFA,Random,194.000000, 720.000000, 16
CPFA,Random,196.000000, 720.000000, 17
CPFA,Random,197.000000, 720.000000, 18
CPFA,Random,193.000000, 720.000000, 19
CPFA,Random,188.000000, 720.000000, 20
CPFA,Random,188.000000, 720.000000, 21
CPFA,Random,193.000000, 720.000000, 22
CPFA,Random,192.000000, 720.000000, 23
CPFA,Random,187.000000, 720.000000, 24
CPFA,Random,193.000000, 720.000000, 25
CPFA,Random,197.000000, 720.000000, 26
CPFA,Random,194.000000, 720.000000, 27
CPFA,Random,188.000000, 720.000000, 28
CPFA,Random,191.000000, 720.000000, 29
CPFA,Random,201.000000, 720.000000, 30
CPFA,Random,190.000000, 720.000000, 31
CPFA,Random,191.000000, 720.000000, 32
CPFA,Random,189.000000, 720.000000, 33
CPFA,Random,191.000000, 720.000000, 34
CPFA,Random,200.000000, 720.000000, 35
CPFA,Random,197.000000, 720.000000, 36
CPFA,Random,192.000000, 720.000000, 37
CPFA,Random,181.000000, 720.000000, 38
CPFA,Random,196.000000, 720.000000, 39
CPFA,Random,186.000000, 720.000000, 40
CPFA,Random,203.000000, 720.000000, 41
CPFA,Random,193.000000, 720.000000, 42
CPFA,Random,191.000000, 720.000000, 43
CPFA,Random,200.000000, 720.000000, 44
CPFA,Random,192.000000, 720.000000, 45
CPFA,Random,195.000000, 720.000000, 46
CPFA,Random,193.000000, 720.000000, 47
CPFA,Random,199.000000, 720.000000, 48
CPFA,Random,190.000000, 720.000000, 49
CPFA,Random,198.000000, 720.000000, 50
AHCFA,Random,193.000000, 720.000000, 1
AHCFA,Random,186.000000, 720.000000, 2
AHCFA,Random,198.000000, 720.000000, 3
AHCFA,Random,195.000000, 720.000000, 4
AHCFA,Random,194.000000, 720.000000, 5
AHCFA,Random,185.000000, 720.000000, 6
AHCFA,Random,195.000000, 720.000000, 7
AHCFA,Random,191.000000, 720.000000, 8
AHCFA,Random,199.000000, 720.000000, 9
AHCFA,Random,205.000000, 720.000000, 10
